#using marijuana
suicidality
suicidal ideation
suicide ideation
suicidal ideations
suicide ideations
#homicidal ideation
suicide attempt
suicide attempts
suicidal attempt
suicidal attempts
kill himself
kill herself
#hang
attempted suicide
attempted suicides
wanted to die
want to die
wants to die
in order to die
#going to die
meant to die
wanting to die
let me die
try to die
tried to die
trying to die
intent to die
would rather die
let her die
let him die
suicide urges
to end her life by
to end his life by
#used marijuana
